Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Foliage,Pollinators,Leaf,Flower,Ripen,Reproduction,Soils,pH,pH_split,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses,PFAF
Podophyllaceae,Podophyllum,peltatum,"American Mandrake, Mayapple, Ground Lemon, Mandrake, Mayapple",medium,"[3, 4, 5, 6, 7, 8, 9]",0.3,0.3,Perennial,,,April to October,May to June,July to August,Hermaphrodite,"['light', 'medium']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",Well-drained soil. suitable ph: mildly acid,,"Moist soils in rich woods, thickets and pastures[43, 130].","Eastern N. America - Southern Maine to Florida, west to Texas and Minnesota.",2,4,2,https://pfaf.org/user/Plant.aspx?LatinName=Podophyllum+peltatum
Convallariaceae,Polygonatum,biflorum,Small Solomon's Seal,,"[3, 4, 5, 6, 7]",1.0,,Perennial,,['Bees'],,May.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Dry to moist sandy, loamy or rocky deciduous woods and thickets, usually in upland areas.","N. America - New Brunswick to Michigan, south to Tennessee and Florida",2,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Polygonatum+biflorum
Polygonaceae,Polygonum,bistorta,"Bistort, Meadow bistort, Snakeweed",fast,"[4, 5, 6, 7]",0.5,0.5,Perennial,,['Insects'],,June to September,August to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid","['Mildly acid', ' neutral', 'basic', 'very acid']",,,"Damp meadows and by water, especially on acid soils[13, 17].","Northern and central Europe, including Britain, mountains of S. Europe, western and central Asia.",3,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Polygonum+bistorta
Polygonaceae,Polygonum,bistortoides,American Bistort,,"[4, 5, 6, 7, 8]",0.5,,Perennial,,['Insects'],,July to August.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Moist or wet meadows and swamps, seldom below 2500 metres[43, 85].",Western N. America - Canada to California.,3,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Polygonum+bistortoides
Polygonaceae,Polygonum,viviparum,Alpine Bistort,,"[3, 4, 5, 6, 7]",0.3,0.3,Perennial,,['Insects'],,June to August.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Mountain grassland and wet rocks.,"Arctic and northern regions of Europe, including Britain, Asia and America. On mountains in south.",3,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Polygonum+viviparum
Polypodiaceae,Polypodium,glycyrrhiza,Licorice Fern,,"[6, 7, 8, 9]",0.5,0.5,Fern,,,,,November to March,,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Moist soil,Drought,"Rocks, mossy tree trunks, logs etc, below 600 metres in coniferous and mixed forests in California. Cliffs and rocky slopes along coasts, often epiphytic, on a variety of substrates.",Western N. America - Alaska to California.,1,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Polypodium+glycyrrhiza
Dryopteridaceae,Polystichum,acrostichoides,Christmas Fern,medium,"[4, 5, 6, 7, 8, 9]",0.6,0.5,Evergreen Fern,Evergreen,,,,,,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Wet woods and rocky slopes[43, 159]. Forest floor and shady, rocky slopes from sea level to 1500 metres.","Eastern N. America - Nova Scotia to Wisconsin, south to Florida, Texas and Mexico.",1,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Polystichum+acrostichoides
Polytaenia,Polytaenia,nuttallii,Nuttall's prairie parsley,medium,"[4, 5, 6]",0.6,0.4,Perennial,,,,,,,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Prairies, plains, savannas, open woods",Native to the central and midwestern United States.,1,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Polytaenia+nuttallii
Polytrichaceae,Polytrichum,commune,"Common haircap, Great golden maidenhair,",slow,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.2,0.3,Evergreen Perennial,Evergreen,['Wind'],,,,,"['light', 'medium', 'heavy']",Mildly acid soils and can grow in very acid,"['Mildly acid', 'very acid']",,,"Typically grows in bogs, wet heathland and along forest streams.","Widely distributed throughout temperate and boreal latitudes in the Northern Hemisphere and also found in Mexico, several Pacific Islands including New Zealand, and also in Australia.",0,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Polytrichum+commune
Rosaceae,Potentilla,anserina,Silverweed,fast,"[4, 5, 6, 7, 8]",0.3,1.0,Perennial,,"['Bees', 'Flies', 'Beetles']",,June to August.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Maritime exposure,Ditches and moist calcareous soils. A common weed of cultivation.,"Europe, including Britain, from Iceland south and east to Iran, the Himalayas, Manchuria, Japan.",3,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Potentilla+anserina
Fabaceae,Prosopis,glandulosa,Honeypod mesquite. Glandular mesquite,fast,"[8, 9, 10, 11]",7.0,7.0,Deciduous Tree,Deciduous,"['Bees', 'Insects']",,,,,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Drought,"Plains and dry ranges, growing in dense thickets near desert washes but also found at the base of sand dunes and other areas where the water table is close to the surface; at elevations up to 1,800 metres[277 , 418 ]. It is a warm temperate plant.  It grows on sandy plains and sandhills.  It can grow in desert grassland.  It can grow on slightly salty soils.  In the SE region of the USA it grows to 1700 m altitude.  It can grow in arid places.","North America, Mesoamerica. Southwestern N. America - California to Kansas, south to southern Mexico",3,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Prosopis+glandulosa
Rosaceae,Prunus,alleghaniensis,"Allegheny Plum, 	Davis' plum",fast,"[4, 5, 6, 7, 8]",3.5,,Deciduous Tree,Deciduous,['Insects'],,April,August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Thickets and woodland edges[43, in low moist soils and on dry ridges, especially limestone bluffs. It forms large thickets in open sites, or grows as individual trees in woodland shade.","Eastern N. America - Connecticut to Pennsylvania, south to Tennessee.",3,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+alleghaniensis
Rosaceae,Prunus,americana,"American Plum, American Wild Plum,  Wild Plum",medium,"[3, 4, 5, 6, 7, 8]",6.0,,Deciduous Tree,Deciduous,['Insects'],,April,August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Rich soils in mixed deciduous woodland, by streams, on the borders of swamps and in hedgerows[43, 62, 82].","N. America - New York to Florida, extending westwards as far as the Rocky Mountains.",3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+americana
Rosaceae,Prunus,angustifolia,"Chickasaw Plum, Watson's plum, Hally Jolivette Cherry",medium,"[5, 6, 7, 8, 9]",3.0,,Deciduous Tree,Deciduous,['Insects'],,April,June to July,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Usually found in sandy soils, occurring along fence rows, in pastures, fields, stream banks, sand dunes and disturbed sites, often forming thickets.","South-eastern N. America - New York to Florida, west to Texas.",3,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+angustifolia
Rosaceae,Prunus,avium,"Wild Cherry, Sweet cherry",fast,"[3, 4, 5, 6, 7]",18.0,7.0,Deciduous Tree,Deciduous,['Bees'],,April to May,July to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Better soils in hedgerows and woods, especially in beech woods[5, 17].","Europe, including Britain, from Scandanavia south and east to N. Africa and W. Asia.",4,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+avium
Rosaceae,Prunus,avium,"Wild Cherry, Sweet cherry",fast,"[3, 4, 5, 6, 7]",18.0,7.0,Deciduous Tree,Deciduous,['Bees'],,April to May,July to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Better soils in hedgerows and woods, especially in beech woods[5, 17].","Europe, including Britain, from Scandanavia south and east to N. Africa and W. Asia.",4,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+avium
Rosaceae,Prunus,avium,"Wild Cherry, Sweet cherry",fast,"[3, 4, 5, 6, 7]",18.0,7.0,Deciduous Tree,Deciduous,['Bees'],,April to May,July to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Better soils in hedgerows and woods, especially in beech woods[5, 17].","Europe, including Britain, from Scandanavia south and east to N. Africa and W. Asia.",4,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+avium
Rosaceae,Prunus,cerasifera,"Cherry Plum, Myrobalan Plum, Newport Cherry Plum, Pissard Plum",medium,"[5, 6, 7, 8]",9.0,9.0,Deciduous Tree,Deciduous,['Bees'],,March,August to September,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,,Not known in a truly wild situation.,W. Asia? Original habitat is obscure. Often planted in hedgerows in Britain but rarely naturalized.,4,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+cerasifera
Rosaceae,Prunus,cerasus,Sour Cherry,,"[3, 4, 5, 6, 7]",6.0,,Deciduous Tree,Deciduous,['Bees'],,May,July,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid","['Mildly acid', ' neutral', 'basic', 'very acid']","Well-drained soil. suitable ph: mildly acid, neutral",Maritime exposure,Hedges in S. England.,S.E. Europe to W. Asia. Naturalized in Britain.,1,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+cerasus
Rosaceae,Prunus,domestica,"Plum, European plum",medium,"[4, 5, 6, 7, 8, 9]",12.0,10.0,Deciduous Tree,Deciduous,['Insects'],,April,July to November,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,,Found in hedges in Britain.,Europe to W. Asia. Naturalized in Britain. A hybrid P. spinosa x P. cerasifera divaricata.,5,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+domestica
Rosaceae,Prunus,domestica,"Plum, European plum",medium,"[4, 5, 6, 7, 8, 9]",12.0,10.0,Deciduous Tree,Deciduous,['Insects'],,April,July to November,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,,Found in hedges in Britain.,Europe to W. Asia. Naturalized in Britain. A hybrid P. spinosa x P. cerasifera divaricata.,5,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+domestica
Rosaceae,Prunus,dulcis,"Almond, Sweet almond",,"[6, 7, 8, 9]",6.0,6.0,Deciduous Tree,Deciduous,['Insects'],,March to April,October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Cultivated ground, thickets, hedges and rocky places near cultivation.",Europe - E. Mediterranean to C. Asia.,4,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+dulcis
Rosaceae,Prunus,dulcis,"Almond, Sweet almond",,"[6, 7, 8, 9]",6.0,6.0,Deciduous Tree,Deciduous,['Insects'],,March to April,October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Cultivated ground, thickets, hedges and rocky places near cultivation.",Europe - E. Mediterranean to C. Asia.,4,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+dulcis
Rosaceae,Prunus,dulcis,"Almond, Sweet almond",,"[6, 7, 8, 9]",6.0,6.0,Deciduous Tree,Deciduous,['Insects'],,March to April,October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Cultivated ground, thickets, hedges and rocky places near cultivation.",Europe - E. Mediterranean to C. Asia.,4,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+dulcis
Rosaceae,Prunus,fruticosa,"Mongolian Cherry, European dwarf cherry",,"[4, 5, 6, 7, 8]",1.0,,Deciduous Shrub,Deciduous,['Insects'],,May,July to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Thickets and dry grassland. Forest-steppes and steppe zone, broad-leaved forest margins, shrubby thickets, steppes and open dry slopes in Tibet.",Europe to western and central Asia.,3,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+fruticosa
Rosaceae,Prunus,hortulana,"Hog Plum, Hortulan plum",,"[5, 6, 7, 8, 9]",9.0,,Deciduous Tree,Deciduous,['Insects'],,April to May,September to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Bottomlands, thickets and woodland edges, in rich moist soils.","Southern and Central N. America - Indiana to Iowa, Missouri, Kansas and Texas.",3,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+hortulana
Rosaceae,Prunus,maritima,"Beach Plum, Graves' plum",,"[3, 4, 5, 6, 7]",2.5,,Deciduous Shrub,Deciduous,['Insects'],,May.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Maritime exposure,"Light gravelly or sandy soils near the coast[43, 182].",Eastern N. America - New Brunswick to Virginia.,4,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+maritima
Rosaceae,Prunus,munsoniana,Wild Goose Plum,fast,"[5, 6, 7, 8, 9]",8.0,,Deciduous Tree,Deciduous,['Insects'],,April,August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Rich soils along the banks of streams, floodplains, pastures, roadsides and edges of woodlands, often forming thickets.",Central N. America.,3,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+munsoniana
Rosaceae,Prunus,persica,"Peach, Flowering Peach,  Ornamental Peach,  Common Peach",fast,"[5, 6, 7, 8, 9]",6.0,6.0,Deciduous Tree,Deciduous,['Bees'],,April,July to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Not known in a truly wild situation, it is possibly derived in cultivation from P. davidiana.",E. Asia - China.,5,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+persica
Rosaceae,Prunus,persica,"Peach, Flowering Peach,  Ornamental Peach,  Common Peach",fast,"[5, 6, 7, 8, 9]",6.0,6.0,Deciduous Tree,Deciduous,['Bees'],,April,July to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Not known in a truly wild situation, it is possibly derived in cultivation from P. davidiana.",E. Asia - China.,5,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+persica
Rosaceae,Prunus,persica,"Peach, Flowering Peach,  Ornamental Peach,  Common Peach",fast,"[5, 6, 7, 8, 9]",6.0,6.0,Deciduous Tree,Deciduous,['Bees'],,April,July to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Not known in a truly wild situation, it is possibly derived in cultivation from P. davidiana.",E. Asia - China.,5,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+persica
Rosaceae,Prunus,persica nucipersica,Nectarine,,"[4, 5, 6, 7, 8]",6.0,6.0,Deciduous Tree,Deciduous,['Bees'],,April,July to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Not known in a truly wild situation, it is possibly derived in cultivation from P. davidiana.",E. Asia - China.,4,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+persica nucipersica
Rosaceae,Prunus,persica nucipersica,Nectarine,,"[4, 5, 6, 7, 8]",6.0,6.0,Deciduous Tree,Deciduous,['Bees'],,April,July to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Not known in a truly wild situation, it is possibly derived in cultivation from P. davidiana.",E. Asia - China.,4,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+persica nucipersica
Rosaceae,Prunus,persica nucipersica,Nectarine,,"[4, 5, 6, 7, 8]",6.0,6.0,Deciduous Tree,Deciduous,['Bees'],,April,July to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Not known in a truly wild situation, it is possibly derived in cultivation from P. davidiana.",E. Asia - China.,4,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+persica nucipersica
Rosaceae,Prunus,pumila,"Dwarf American Cherry, Sandcherry, Western sandcherry, Eastern sandcherry, Great Lakes sandcherry",,"[3, 4, 5, 6, 7, 8]",0.6,1.0,Deciduous Shrub,Deciduous,['Insects'],,May,August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Drought,"Dunes and sand, or on calcareous rocky shores.","Eastern N. America - New Brunswick to Manitoba, Maine, New Jersey, Indiana and Wisconsin.",4,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Prunus+pumila
